City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,gadzhiyevo,69.2551,33.3362,-8.66,89,6,4.07,RU,1732725072
83,burutu,5.3509,5.5076,29.11,64,40,3.8,NG,1732725073
84,alo,6.5486,4.2686,28.08,70,8,3.96,NG,1732725074
85,tolanaro,-25.0319,46.9987,28.04,74,40,10.8,MG,1732725075
86,bayanhongor,46.7167,100.1167,-20.21,85,58,1.08,MN,1732725077
87,nadi,-17.8,177.4167,25.0,88,75,1.54,FJ,1732725049
88,kingston,17.997,-76.7936,26.53,83,75,0.51,JM,1732725008
89,tura,25.5198,90.2201,16.84,83,25,1.68,IN,1732725081
90,darwin,-12.4611,130.8418,26.99,89,81,2.06,AU,1732725083
91,shache,38.4167,77.2406,1.04,43,1,2.3,CN,1732725084
92,shakiso,5.75,38.9167,16.62,82,73,1.54,ET,1732725085
93,aasiaat,68.7098,-52.8699,-20.35,86,61,5.71,GL,1732724973
94,semera,11.501,41.201,29.67,31,5,3.34,ET,1732725087
95,adamstown,-25.066,-130.1015,22.5,81,86,10.02,PN,1732725089
96,yaren,-0.5472,166.916,27.69,77,97,6.28,NR,1732725090
97,houghton,47.1219,-88.569,-1.29,84,100,5.66,US,1732724904
98,vorgashor,67.5833,63.95,-1.36,87,97,6.11,RU,1732725092
99,tazovsky,67.4667,78.7,1.25,81,100,14.82,RU,1732725095
100,preobrazheniye,42.9019,133.9064,-3.02,51,2,2.56,RU,1732725096
101,college,64.8569,-147.8028,-28.01,76,40,0.0,US,1732725097
102,prieska,-29.6641,22.7474,23.13,16,1,6.34,ZA,1732725098
103,greymouth,-42.4667,171.2,14.21,96,100,1.24,NZ,1732725100
104,haiku-pauwela,20.9219,-156.3051,22.8,88,40,4.02,US,1732725101
105,fauske,67.2588,15.3918,-5.24,80,82,3.16,NO,1732725102
106,rio gallegos,-51.6226,-69.2181,15.03,38,0,2.06,AR,1732724962
107,vila franca do campo,37.7167,-25.4333,18.27,99,82,7.62,PT,1732725104
108,linden,6.0,-58.3,34.91,31,20,2.22,GY,1732725105
109,den burg,53.0542,4.7972,9.99,87,100,14.4,NL,1732725107
110,homer,59.6425,-151.5483,-6.24,79,0,1.54,US,1732725108
111,qaqortoq,60.7167,-46.0333,-6.34,69,78,4.38,GL,1732724952
112,dahab,28.501,34.5134,18.37,42,0,6.45,EG,1732725110
113,sorochinsk,52.4338,53.1583,-2.12,61,24,1.25,RU,1732725111
114,talcahuano,-36.7167,-73.1167,17.82,42,20,6.69,CL,1732725088
115,yellowknife,62.456,-114.3525,-24.69,77,20,5.66,CA,1732725114
116,invercargill,-46.4,168.35,18.34,65,100,4.92,NZ,1732725115
117,onega,63.9061,38.1404,0.84,99,100,1.32,RU,1732725116
118,port elizabeth,-33.918,25.5701,17.16,99,75,10.29,ZA,1732725117
119,hithadhoo,-0.6,73.0833,28.08,79,84,7.78,MV,1732725118
120,kralendijk,12.15,-68.2667,31.99,70,75,7.2,BQ,1732725117
121,tiksi,71.6872,128.8694,-16.1,77,100,13.73,RU,1732725121
122,temiskaming shores,47.4938,-79.7153,-3.11,66,92,5.16,CA,1732725122
123,viedma,-40.8135,-62.9967,23.07,24,1,7.25,AR,1732725078
124,pekan,3.4836,103.3996,24.02,94,99,2.27,MY,1732725124
125,antofagasta,-23.65,-70.4,21.6,77,69,4.2,CL,1732724992
126,saint clairsville,40.0806,-80.9001,4.96,74,100,2.04,US,1732725126
127,macapa,0.0389,-51.0664,33.99,52,40,4.63,BR,1732725128
128,iskateley,67.6803,53.1512,-4.01,91,14,4.6,RU,1732725129
129,bilibino,68.0546,166.4372,-15.3,98,99,1.07,RU,1732725130
130,carauari,-4.8828,-66.8958,29.33,66,91,2.25,BR,1732725131
131,rio grande,-32.035,-52.0986,25.31,80,72,1.9,BR,1732725022
132,tejen,37.3834,60.5054,20.54,29,100,3.27,TM,1732725133
133,sisimiut,66.9395,-53.6735,-13.87,70,59,6.8,GL,1732725135
134,vorkuta,67.5,64.0,-1.05,86,96,5.93,RU,1732725136
135,dawson creek,55.7666,-120.2362,-15.2,78,100,1.54,CA,1732725137
136,general pico,-35.6566,-63.7568,24.95,25,59,5.78,AR,1732725138
137,lorengau,-2.0226,147.2712,28.42,78,100,5.32,PG,1732725139
138,port hedland,-20.3167,118.5667,28.03,78,90,4.12,AU,1732725140
139,pacific grove,36.6177,-121.9166,12.03,88,0,6.71,US,1732725142
140,mejit,10.2753,170.8646,27.94,80,100,9.43,MH,1732725143
141,utrik,11.2278,169.8474,28.24,79,99,9.4,MH,1732725144
142,ilulissat,69.2167,-51.1,-14.99,72,75,12.86,GL,1732725145
143,lihue,21.9789,-159.3672,20.77,88,40,2.57,US,1732725146
144,bubaque,11.2833,-15.8333,28.31,68,0,4.98,GW,1732725149
145,suomussalmi,64.8869,28.9078,0.01,99,100,2.84,FI,1732725150
146,hilo,19.7297,-155.09,20.62,77,20,2.57,US,1732725151
147,akureyri,65.6835,-18.0878,6.96,53,75,10.8,IS,1732725152
148,cockburn town,21.4612,-71.1419,26.09,81,100,6.79,TC,1732725003
149,whitehorse,60.7161,-135.0538,-13.57,84,100,4.12,CA,1732725154
150,hovd,48.0056,91.6419,-8.04,48,0,2.35,MN,1732725156
151,copiapo,-27.3667,-70.3333,29.13,28,1,4.25,CL,1732725122
152,coahuayana de hidalgo,18.7,-103.6583,30.04,60,1,1.51,MX,1732725158
153,mto wa mbu,-3.35,35.85,26.95,48,65,2.02,TZ,1732725159
154,man,7.4125,-7.5538,31.4,28,70,1.77,CI,1732725161
155,yarmouth,41.7057,-70.2286,11.19,60,0,5.66,US,1732725162
156,yeniseysk,58.4497,92.1703,0.37,78,99,4.63,RU,1732725163
157,zouerate,22.7187,-12.4521,28.41,15,100,6.34,MR,1732725164
158,robertsport,6.7533,-11.3686,28.24,69,30,5.75,LR,1732725165
159,longyearbyen,78.2186,15.6401,-10.09,52,75,7.2,SJ,1732725166
160,kupang,-10.1667,123.5833,28.32,94,66,1.03,ID,1732725167
161,cam ranh,11.9214,109.1591,23.98,94,75,10.8,VN,1732725169
162,san luis,-33.295,-66.3356,19.06,72,84,8.11,AR,1732725000
163,grand falls-windsor,48.9332,-55.6649,3.61,90,100,0.45,CA,1732725047
164,east london,-33.0153,27.9116,19.58,64,8,11.54,ZA,1732725172
165,thunder bay,48.4001,-89.3168,-4.01,74,75,5.66,CA,1732725173
166,island harbour,50.724,-1.2758,6.04,65,100,2.68,GB,1732725174
167,vilyuchinsk,52.9306,158.4028,-4.85,73,7,3.42,RU,1732725176
168,badger,64.8,-147.5333,-22.86,74,40,0.0,US,1732725177
169,beidaihehaibin,39.8222,119.5181,-0.6,44,32,7.35,CN,1732725178
170,puerto baquerizo moreno,-0.9,-89.6,22.55,83,100,7.2,EC,1732725006
171,garachico,28.7781,-17.7646,21.94,73,20,2.06,ES,1732725180
172,lethbridge,49.7,-112.8186,-13.73,85,75,2.57,CA,1732725155
173,kristiansund,63.1115,7.732,-0.64,86,0,2.06,NO,1732725183
174,letlhakane,-21.4167,25.5833,30.92,31,62,4.18,BW,1732725152
175,prado,-17.3411,-39.2208,26.7,67,62,4.8,BR,1732725185
176,san patricio,28.017,-97.5169,23.97,77,91,5.39,US,1732725186
177,kone,-21.0595,164.8658,24.5,91,100,1.76,NC,1732725187
178,fairbanks,64.8378,-147.7164,-28.0,76,40,0.0,US,1732725188
179,masterton,-40.9597,175.6575,10.82,98,22,2.03,NZ,1732725190
180,nova sintra,14.8667,-24.7167,25.09,77,34,6.49,CV,1732725191
181,nikol'sk,53.7189,46.0712,-5.36,91,58,1.87,RU,1732725192
182,mount gambier,-37.8333,140.7667,10.62,99,79,1.56,AU,1732725193
183,kapa'a,22.0752,-159.319,21.18,94,40,2.57,US,1732725194
184,nosy varika,-20.5833,48.5333,25.67,77,17,4.47,MG,1732725195
185,morehead city,34.7229,-76.726,19.0,66,0,3.6,US,1732725196
186,minas de marcona,-15.2119,-75.1103,21.55,56,83,5.09,PE,1732725198
187,palikir - national government center,6.9248,158.1611,27.41,78,40,2.06,FM,1732725199
188,alice springs,-23.7,133.8833,22.75,49,40,2.57,AU,1732725200
189,gunsan,35.9786,126.7114,5.94,52,40,11.32,KR,1732725202
190,daru,-9.0763,143.2092,27.17,86,100,4.19,PG,1732725204
191,sur,22.5667,59.5289,26.12,57,0,1.94,OM,1732725206
192,sambava,-14.2667,50.1667,25.63,80,40,4.45,MG,1732725207
193,alotau,-10.3069,150.4462,25.27,93,99,2.31,PG,1732725208
194,georgetown,5.4112,100.3354,25.96,82,20,5.66,MY,1732725202
195,pasni,25.2631,63.471,26.12,75,0,5.0,PK,1732725210
196,pak phanang,8.3511,100.202,24.48,88,100,1.44,TH,1732725211
197,ocean city,39.2776,-74.5746,11.7,54,74,1.79,US,1732725214
198,wailua homesteads,22.0669,-159.378,20.44,94,40,2.57,US,1732725215
199,anna regina,7.2644,-58.5077,29.86,66,38,5.36,GY,1732725216
200,blackfoot,43.1905,-112.345,-1.97,92,99,4.85,US,1732725195
201,inirida,3.8653,-67.9239,33.05,55,92,1.74,CO,1732725220
202,nchelenge,-9.3451,28.734,23.05,82,26,4.53,ZM,1732725221
203,san jose de feliciano,-30.3845,-58.7517,25.0,84,100,1.62,AR,1732725222
204,hato mayor del rey,18.7628,-69.2568,27.57,78,96,3.05,DO,1732725223
205,toliara,-23.35,43.6667,26.57,77,35,0.29,MG,1732725225
206,yuzhno-kurilsk,44.0306,145.8556,8.51,98,98,3.81,RU,1732725226
207,shakawe,-18.3667,21.85,29.04,40,48,4.08,BW,1732725227
208,pisco,-13.7,-76.2167,20.03,83,75,4.12,PE,1732725228
209,sinop,41.7711,34.8709,-0.87,84,3,4.05,TR,1732725229
210,belmopan,17.25,-88.7667,27.92,55,4,1.08,BZ,1732725230
211,vangaindrano,-23.35,47.6,25.2,82,17,3.95,MG,1732725231
212,st. john's,47.5649,-52.7093,3.87,90,75,3.09,CA,1732725138
213,weno,7.4515,151.8468,26.97,89,100,2.57,FM,1732725234
214,puerto lleras,3.0223,-73.4044,29.93,67,93,1.4,CO,1732725235
215,chonchi,-42.6128,-73.8092,11.73,85,42,1.08,CL,1732725236
216,seka,17.9285,103.9552,18.66,74,100,2.51,TH,1732725237
217,tyukhtet,56.5389,89.3011,-3.55,76,20,4.77,RU,1732725240
218,makuyuni,-4.7333,38.1,27.17,64,38,2.04,TZ,1732725241
219,mata-utu,-13.2816,-176.1745,27.63,81,58,5.85,WF,1732725242
220,calvia,39.5657,2.5062,17.73,73,45,1.65,ES,1732725243
221,susuman,62.7833,148.1667,-33.51,97,38,0.13,RU,1732725194
222,palmer,42.1584,-72.3287,8.62,66,75,4.63,US,1732725245
223,ligaya,12.6599,120.8923,25.71,74,93,1.3,PH,1732725247
224,kumylzhenskaya,49.8809,42.5898,1.66,84,100,2.38,RU,1732725248
225,nova vicosa,-17.8919,-39.3719,27.84,62,69,6.4,BR,1732725249
226,springbok,-29.6643,17.8865,17.7,40,0,7.96,ZA,1732725251
227,castillos,-34.1667,-53.8333,23.7,77,100,2.04,UY,1732725252
228,arraial do cabo,-22.9661,-42.0278,32.98,55,0,6.17,BR,1732725167
229,ulcinj,41.9294,19.2244,12.21,77,32,0.65,ME,1732725255
230,salinas,36.6777,-121.6555,12.26,79,100,2.06,US,1732725043
231,olonkinbyen,70.9221,-8.7187,-7.92,89,100,12.46,SJ,1732725257
232,thakurgaon,26.0333,88.4667,19.65,61,19,1.51,BD,1732725258
233,plabennec,48.5024,-4.4266,11.01,81,20,3.09,FR,1732725260
234,kharkhorin,47.1975,102.8238,-3.14,45,88,4.96,MN,1732725262
235,kavaratti,10.5669,72.642,28.29,71,100,3.78,IN,1732725263
236,constantia,44.1833,28.65,4.38,74,97,2.98,RO,1732725246
237,talara,-4.5772,-81.2719,27.42,54,0,7.2,PE,1732725265
238,shibirghan,36.6676,65.7529,15.29,34,55,5.76,AF,1732725266
239,horodnya,51.8909,31.5974,-3.82,94,100,2.05,UA,1732725267
240,poyang,28.9924,116.6675,10.57,43,20,2.19,CN,1732725268
241,kruisfontein,-34.0033,24.7314,15.41,80,23,7.8,ZA,1732725270
242,mount isa,-20.7333,139.5,23.87,94,100,3.09,AU,1732725271
243,culpeper,38.5004,-77.9664,10.88,48,0,1.34,US,1732725272
244,karratha,-20.7377,116.8463,27.61,65,90,2.27,AU,1732725273
